DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd00001_c0	H2O	h2o	OH-|HO-|Water|H2O	C00001|C01328	H2O	0
cpd00002_c0	ATP	atp	Adenosine 5'-triphosphate|ATP	C00002	C10H13N5O13P3	-3
cpd00003_c0	NAD	nad	Nicotinamideadeninedinucleotide|Nadide|Diphosphopyridine nucleotide|DPN|Nicotinamide adenine dinucleotide|NAD|NAD+	C00003	C21H26N7O14P2	-1
cpd00004_c0	NADH	nadh	Nicotinamideadeninedinucleotide-reduced|Nicotinamide adenine dinucleotide - reduced|DPNH|NADH	C00004	C21H27N7O14P2	-2
cpd00005_c0	NADPH	nadph	Nicotinamideadeninedinucleotidephosphate-reduced|Nicotinamide adenine dinucleotide phosphate - reduced|TPNH|NADPH	C00005	C21H27N7O17P3	-3
cpd00006_c0	NADP	nadp	Nicotinamideadeninedinucleotidephosphate|Nicotinamide adenine dinucleotide phosphate -|Triphosphopyridine nucleotide|TPN|beta-Nicotinamide adenine dinucleotide phosphate|Nicotinamide adenine dinucleotide phosphate|NADP|NADP+	C00006	C21H26N7O17P3	-2
cpd00007_c0	O2	o2	dioxygen|O2|Oxygen	C00007	O2	0
cpd00008_c0	ADP	adp	Adenosine 5'-diphosphate|ADP	C00008	C10H13N5O10P2	-2
cpd00009_c0	Phosphate	pi	Orthophosphoric acid|Phosphoric acid|Phosphate|Orthophosphate	C00009	HO4P	-2
cpd00010_c0	CoA	coa	CoenzymeA|CoA-SH|Coenzyme A|CoA	C00010	C21H33N7O16P3S	-3
cpd00011_c0	CO2	co2	Carbon dioxide|CO2	C00011	CO2	0
cpd00012_c0	PPi	ppi	PPi|Diphosphate|Pyrophosphoric acid|Pyrophosphate	C00013	H2O7P2	-2
cpd00013_c0	NH3	nh4	NH4plus|NH4+|Ammonium|Ammonia|NH3	C01342|C00014	H4N	1
cpd00014_c0	UDP	udp	Uridine 5'-diphosphate|UDP	C00015	C9H12N2O12P2	-2
cpd00015_c0	FAD	fad	Flavinadeninedinucleotideoxidized|Flavin adenine dinucleotide oxidized|Flavin adenine dinucleotide|FAD	C00016	C27H31N9O15P2	-2
cpd00016_c0	Pyridoxal phosphate	pydx5p	Pyridoxal 5'-phosphate|Pyridoxal 5-phosphate|Pyridoxal phosphate	C00018	C8H9NO6P	-1
cpd00017_c0	S-Adenosyl-L-methionine	amet	SAM|AdoMet|Acylcarnitine|S-Adenosylmethionine|S-Adenosyl-L-methionine	C00019	C15H23N6O5S	1
cpd00018_c0	AMP	amp	Adenosine 5'-phosphate|5'-Adenosine monophosphate|5'-Adenylic acid|5'-AMP|Adenylate|Adenylic acid|Adenosine 5'-monophosphate|AMP	C00020	C10H13N5O7P	-1
cpd00019_c0	S-Adenosyl-homocysteine	ahcys	s-adenosyl-homocysteine|S-Adenosylhomocysteine|S-Adenosyl-L-homocysteine	C00021	C14H20N6O5S	0
cpd00020_c0	Pyruvate	pyr	Pyroracemic acid|2-Oxopropanoic acid|2-Oxopropanoate|Pyruvic acid|Pyruvate	C00022	C3H3O3	-1
cpd00021_c0	Fe2+	fe2	Iron	C00023	Fe	0
cpd00022_c0	Acetyl-CoA	accoa	Acetyl coenzyme A|Acetyl-CoA	C00024	C23H35N7O17P3S	-3
cpd00023_c0	L-Glutamate	glu-L	DL-Glutaminic acid|DL-Glutamate|2-Aminoglutaric acid|Glutaminic acid|Glutamate|GLU|L-Glutaminic acid|L-Glutamic acid|L-Glutamate	C00025|C00302	C5H8NO4	-1
cpd00024_c0	2-Oxoglutarate	akg	alpha-Ketoglutaric acid|2-Ketoglutaric acid|Oxoglutaric acid|2-Oxoglutarate	C00026	C5H4O5	-2
cpd00025_c0	H2O2	h2o2	Hydrogenperoxide|Oxydol|Hydrogen peroxide|H2O2	C00027	H2O2	0
cpd00026_c0	UDP-glucose	udpg	UDP-alpha-D-glucose|Uridine diphosphate glucose|UDP-D-glucose|UDPglucose|UDP-glucose	C00029	C15H22N2O17P2	-2
cpd00027_c0	D-Glucose	glc-D	Glucose|Dextrose|alpha-D-Glucose|Grape sugar|D-Glucose	C00267|C00293|C00031	C6H12O6	0
cpd00028_c0	Heme	pheme	Protoheme IX|Heme B|Protoheme|Haem|Heme	C00032	C34H30FeN4O4	-2
cpd00029_c0	Acetate	ac	ACET|Glacial acetic acid|Ethanoic acid|Acetic acid|Acetate	C00033	C2H3O2	-1
cpd00030_c0	Mn2+	mn2	Mn(III)|Mn(II)|Mn2+|Manganese	C00034	Mn	2
cpd00031_c0	GDP	gdp	Guanosine diphosphate|Guanosine 5'-diphosphate|GDP	C00035	C10H13N5O11P2	-2
cpd00032_c0	Oxaloacetate	oaa	keto-Oxaloacetate|Oxosuccinic acid|2-Oxobutanedioic acid|Oxaloacetic acid|Oxalacetic acid|Oxaloacetate	C00036	C4H2O5	-2
cpd00033_c0	Glycine	gly	Gly|Aminoacetic acid|Glycine	C00037	C2H5NO2	0
cpd00034_c0	Zn2+	zn2	Zn(II)|Zn2+|Zinc	C00038	Zn	2
cpd00035_c0	L-Alanine	ala-L	ALA|L-alpha-Alanine|L-2-Aminopropionic acid|L-Alanine	C00041	C3H7NO2	0
cpd00036_c0	Succinate	succ	Ethylenesuccinic acid|Butanedionic acid|Succinic acid|Succinate	C00042	C4H4O4	-2
cpd00037_c0	UDP-N-acetylglucosamine	uacgam	UDP-N-acetylglucosamine|UDP-N-acetyl-D-glucosamine	C00043	C17H25N3O17P2	-2
cpd00038_c0	GTP	gtp	Guanosine 5'-triphosphate|GTP	C00044	C10H13N5O14P3	-3
cpd00039_c0	L-Lysine	lys-L	Lysine|2,6-Diaminohexanoic acid|Lysine acid|L-Lysine	C00047|C16440	C6H15N2O2	1
cpd00040_c0	Glyoxalate	glx	Glyoxylic acid|Glyoxalate|Glyoxylate	C00048	C2HO3	-1
cpd00041_c0	L-Aspartate	asp-L	Aspartic acid|Aspartate|2-Aminosuccinic acid|L-Aspartic acid|L-Aspartate	C00049|C16433	C4H6NO4	-1
cpd00042_c0	GSH	gthrd	Reducedglutathione|GSH|gamma-L-Glutamyl-L-cysteinyl-glycine|N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine|5-L-Glutamyl-L-cysteinylglycine|Reduced glutathione|Glutathione	C00051	C10H16N3O6S	-1
cpd00043_c0	UDP-galactose	udpgal	UDPgalactose|UDP-D-galactopyranose|UDP-galactose|UDP-D-galactose	C00052	C15H22N2O17P2	-2
cpd00044_c0	3-phosphoadenylylsulfate	paps	3-phosphoadenylyl sulfate|3-phospho-adenylylsulfate|3-Phosphoadenylylsulfate|PAPS|3'-Phospho-5'-adenylyl sulfate|3'-Phosphoadenosine 5'-phosphosulfate|3'-Phosphoadenylyl sulfate	C00053	C10H12N5O13P2S	-3
cpd00045_c0	Adenosine 3-5-bisphosphate	pap	Adenosine3-5-bisphosphate|Phosphoadenosine phosphate|3'-Phosphoadenylate|PAP|Adenosine 3',5'-bisphosphate	C00054	C10H13N5O10P2	-2
cpd00046_c0	CMP	cmp	Cytidylic acid|Cytidine-5'-monophosphate|CMP	C00055	C9H13N3O8P	-1
cpd00047_c0	Formate	for	FORM|Formic acid|Methanoic acid|Formate	C00058	CHO2	-1
cpd00048_c0	Sulfate	so4	SLF|Sulfuric acid|Sulfate	C00059	O4S	-2
cpd00049_c0	Carboxylic acid	cbs_168	fatty-acid|Fatty acid|Carboxylic acid|Monocarboxylate|R-COOH|Carboxylate	C00060|C00162	CO2R	-1
cpd00050_c0	FMN	fmn	Flavin mononucleotide|Riboflavin-5-phosphate|FMN	C00061	C17H20N4O9P	-1
cpd00051_c0	L-Arginine	arg-L	2-Amino-5-guanidinovaleric acid|Arginine|Amino acid(Arg-)|(S)-2-Amino-5-guanidinovaleric acid|L-Arginine	C00062|C02385	C6H15N4O2	1
cpd00052_c0	CTP	ctp	Cytidine triphosphate|Cytidine 5'-triphosphate|CTP	C00063	C9H13N3O14P3	-3
cpd00053_c0	L-Glutamine	gln-L	L-2-Aminoglutaramic acid|L-Glutamine	C00064	C5H10N2O3	0
cpd00054_c0	L-Serine	ser-L	DL-Serine|3-Hydroxyalanine|2-Amino-3-hydroxypropionic acid|Serine|L-3-Hydroxy-alanine|L-2-Amino-3-hydroxypropionic acid|L-Serine	C00716|C00065	C3H7NO3	0
cpd00055_c0	Formaldehyde	fald	Formalin|Methylene oxide|Oxomethylene|Oxomethane|Methanal|Formaldehyde	C00067	CH2O	0
cpd00056_c0	TPP	thmpp	Thiaminediphosphate|ThPP|TPP|Thiamin pyrophosphate|Thiamine diphosphate|Thiamin diphosphate	C00068	C12H17N4O7P2S	-1
cpd00057_c0	Alcohol	Alcohol	Alcohol	C00069	HOR	0
cpd00058_c0	Cu2+	cu2	Copper|Cu+|Cu(I)|Cu1+|Copper1|Cu(II)|Cu2+|Copper2	C00070	Cu	2
cpd00059_c0	L-Ascorbate	ascb	Vitamin C|L-Ascorbic acid|L-Ascorbate|Ascorbic acid|Ascorbate	C00072	C6H7O6	-1
cpd00060_c0	L-Methionine	met-L	2-Amino-4-(methylthio)butyric acid|L-2-Amino-4methylthiobutyric acid|Methionine|L-Methionine	C00073|C01733	C5H11NO2S	0
cpd00061_c0	Phosphoenolpyruvate	pep	PEP|Phosphoenolpyruvic acid|Phosphoenolpyruvate	C00074	C3H3O6P	-2
cpd00062_c0	UTP	utp	Uridine triphosphate|Uridine 5'-triphosphate|UTP	C00075	C9H12N2O15P3	-3
cpd00063_c0	Ca2+	ca2	Ca(2+)|Ca2+|Calcium	C00076	Ca	2
cpd00064_c0	Ornithine	orn	2,5-Diaminopentanoate|2,5-Diaminopentanoic acid|2,5-Diaminovaleric acid|Ornithine|(S)-2,5-Diaminopentanoate|(S)-2,5-Diaminopentanoic acid|(S)-2,5-Diaminovaleric acid|L-Ornithine	C00077|C01602	C5H13N2O2	1
cpd00065_c0	L-Tryptophan	trp-L	alpha-Amino-beta-(3-indolyl)-propionic acid|(S)-alpha-Amino-beta-(3-indolyl)-propionic acid|Tryptophan|L-Tryptophan	C00078|C00806	C11H12N2O2	0
cpd00066_c0	L-Phenylalanine	phe-L	(S)-alpha-Amino-beta-phenylpropionic acid|L-Phenylalanine	C00079	C9H11NO2	0
cpd00067_c0	H+	h	H+	C00080	H	1
cpd00068_c0	ITP	itp	Inosine tripolyphosphate|Inosine triphosphate|Inosine 5'-triphosphate|ITP	C00081	C10H12N4O14P3	-3
cpd00069_c0	L-Tyrosine	tyr-L	DL-Tyrosine|2-Amino-3-(p-hydroxyphenyl)propionic acid|3-(p-Hydroxyphenyl)alanine|Tyrosine|(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid|(S)-3-(p-Hydroxyphenyl)alanine|L-Tyrosine	C00082|C01536	C9H11NO3	0
cpd00070_c0	Malonyl-CoA	malcoa	Malonyl coenzyme A|Malonyl-CoA	C00083	C24H34N7O19P3S	-4
cpd00071_c0	Acetaldehyde	acald	AALD|Ethanal|Acetaldehyde	C00084	C2H4O	0
cpd00072_c0	D-fructose-6-phosphate	f6p	D-fructose-6-phosphate|D-Fructose6-phosphate|beta-D-Fructose 6-phosphate|Neuberg ester|D-Fructose 6-phosphoric acid|D-Fructose 6-phosphate	C05345|C00085	C6H12O9P	-1
cpd00073_c0	Urea	urea	Carbamide|Urea	C00086	CH4N2O	0
cpd00074_c0	S	s	Sulfur, precipitated|S|Sulfur	C00087	S	0
cpd00075_c0	Nitrite	no2	Nitrite	C00088	NO2	-1
cpd00076_c0	Sucrose	sucr	SUCR|1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside|Saccharose|Cane sugar|Sucrose	C00089	C12H22O11	0
cpd00077_c0	Catechol	catechol	Pyrocatechol|Brenzcatechin|1,2-Dihydroxybenzene|o-Benzenediol|1,2-Benzenediol|Catechol	C00090|C15571	C6H6O2	0
cpd00078_c0	Succinyl-CoA	succoa	Succinyl coenzyme A|Succinyl-CoA	C00091	C25H36N7O19P3S	-4
cpd00079_c0	D-glucose-6-phosphate	g6p	glucose-6-phosphate|D-glucose-6-phosphate|alpha-D-glucose-6-phosphate|D-Glucose6-phosphate|alpha-D-Glucose 6-phosphate|Robison ester|Glucose 6-phosphate|D-Glucose 6-phosphate	C00668|C00092	C6H12O9P	-1
cpd00080_c0	Glycerol-3-phosphate	glyc3p	L-Glycerol 1-phosphate|sn-Glycerol 1-phosphate|Glycerol 1-phosphate|D-Glycerol 1-phosphate|GLYC-3-P|Glycerol3-phosphate|Glycerol 3-phosphate|Glycerol-3-phosphate|sn-Gro-1-P|Glycerophosphoric acid|sn-Glycerol 3-phosphate	C00623|C00093	C3H8O6P	-1
cpd00081_c0	Sulfite	so3	H2SO3|Bisulfite|Sulfite (HSO3)-|HSO3-|Hydrogen sulfite|Sulfite	C00094|C11481	HO3S	-1
cpd00082_c0	D-Fructose	fru	arabino-Hexulose|Fructose|beta-Levulose|beta-D-arabino-Hexulose|beta-Fruit sugar|beta-D-Fructose|D-arabino-Hexulose|Fruit sugar|Levulose|D-Fructose	C10906|C01496|C00095|C02336	C6H12O6	0
cpd00083_c0	GDP-mannose	gdpmann	GDP-D-mannose|GDP-mannose	C00096	C16H23N5O16P2	-2
cpd00084_c0	L-Cysteine	cys-L	L-2-Amino-3-mercaptopropionic acid|L-Cysteine	C00097	C3H7NO2S	0
cpd00085_c0	beta-Alanine	ala-B	3-Aminopropanoate|3-Aminopropionic acid|beta-Alanine	C00099	C3H7NO2	0
cpd00086_c0	Propionyl-CoA	ppcoa	Propionyl coenzyme A|Propionyl-CoA|Propanoyl-CoA	C00100	C24H37N7O17P3S	-3
cpd00087_c0	Tetrahydrofolate	thf	5-6-7-8-Tetrahydrofolate|(6S)-THFA|(6S)-Tetrahydrofolic acid|(6S)-Tetrahydrofolate|THF|Tetrahydrofolic acid|5,6,7,8-Tetrahydrofolate|Tetrahydrofolate	C00101	C19H21N7O6	-2
cpd00088_c0	2,6-dichloroindophenol	DCIP	DCIP|2,6-Dichlorophenolindophenol|2,6-Dichloroindophenol	C00102	C12H7NO2Cl2	0
cpd00089_c0	Glucose-1-phosphate	g1p	D-Glucose1-phosphate|D-glucose-1-phosphate|alpha-D-Glucose-1-phosphate|D-Glucose alpha-1-phosphate|Cori ester|alpha-D-Glucose 1-phosphate|D-Glucose 1-phosphate	C00103	C6H12O9P	-1
cpd00090_c0	IDP	idp	Inosine diphosphate|Inosine 5'-diphosphate|IDP	C00104	C10H12N4O11P2	-2
cpd00091_c0	UMP	ump	5'Uridylic acid|Uridine 5'-monophosphate|Uridine monophosphate|Uridylic acid|UMP	C00105	C9H12N2O9P	-1
cpd00092_c0	Uracil	ura	Uracil	C00106	C4H4N2O2	0
cpd00093_c0	Anthranilate	anth	2-Aminobenzoate|Vitamin L1|o-Aminobenzoic acid|Anthranilic acid|Anthranilate	C00108	C7H6NO2	-1
cpd00094_c0	2-Oxobutyrate	2obut	alpha-Ketobutyrate|alpha-Ketobutyric acid|2-Oxobutanoic acid|2-Oxobutyrate|2-Oxobutyric acid|2-Ketobutyric acid|2-Oxobutanoate	C00109	C4H5O3	-1
cpd00095_c0	Glycerone-phosphate	dhap	dihydroxy-acetone-phosphate|glycerone-phosphate|Dihydroxyacetonephosphate|Dihydroxyacetone phosphate|Glycerone phosphate	C00111	C3H6O6P	-1
cpd00096_c0	CDP	cdp	Cytidine diphosphate|Cytidine 5'-diphosphate|CDP	C00112	C9H13N3O11P2	-2
cpd00097_c0	Pyrroloquinoline-quinone	pqq	4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9- tricarboxylate|Pyrroloquinoline quinone|Pyrroloquinoline-quinone|Pyrrolo-quinoline quinone|PQQ	C00113	C14H3N2O8	-3
cpd00098_c0	Choline	chol	Bilineurine|Choline	C00114	C5H14NO	1
cpd00099_c0	Cl-	cl	Hydrochloride|Hydrogen chloride|Hydrochloric acid|Chloride ion|Cl-|HCl|Chloride	C00698|C01327	Cl	-1
cpd00100_c0	Glycerol	glyc	GLYC|1,2,3-Propanetriol|1,2,3-Trihydroxypropane|Glycerin|Glycerol	C00116	C3H8O3	0
cpd00101_c0	ribose-5-phosphate	r5p	ribose-5-phosphate|D-ribose-5-phosphate|alpha-D-Ribose5-phosphate|alpha-D-Ribose 5-phosphate|Ribose 5-phosphate|D-Ribose 5-phosphate	C03736|C00117	C5H10O8P	-1
cpd00102_c0	Glyceraldehyde3-phosphate	g3p	DL-Glyceraldehyde 3-phosphate|Glyceraldehyde-3-phosphate|D-glyceraldehyde-3-phosphate|Glyceraldehyde3-phosphate|Glyceraldehyde 3-phosphate|(2R)-2-Hydroxy-3-(phosphonooxy)-propanal|D-Glyceraldehyde 3-phosphate	C00118|C00661	C3H6O6P	-1
cpd00103_c0	PRPP	prpp	5-phosphoribosyl-1-pyrophosphate|5-Phospho-alpha-D-ribose1-diphosphate|PRPP|5-Phosphoribosyl 1-pyrophosphate|5-Phosphoribosyl diphosphate|5-Phospho-alpha-D-ribose 1-diphosphate	C00119	C5H10O14P3	-3
cpd00104_c0	BIOT	btn	BIOT|Coenzyme R|Vitamin H|D-Biotin|Biotin	C00120	C10H15N2O3S	-1
cpd00105_c0	D-Ribose	rib-D	D-Ribose	C00121	C5H10O5	0
cpd00106_c0	Fumarate	fum	trans-Butenedioic acid|Fumaric acid|Fumarate	C00122	C4H2O4	-2
cpd00107_c0	L-Leucine	leu-L	(2S)-alpha-Leucine|(2S)-alpha-2-Amino-4-methylvaleric acid|2-Amino-4-methylvaleric acid|L-Leucine	C00123	C6H13NO2	0
cpd00108_c0	Galactose	gal	GALC|D-Galactose	C00124	C6H12O6	0
cpd00109_c0	Cytochrome c3+	ficytc	Ferricytochromec-553|Ferricytochrome c-553|Cytochrome c3+|Ferricytochrome c	C01070|C00125	C42H52FeN8O6S2	5
cpd00110_c0	Cytochrome c2+	focytc	Ferrocytochromec-553|Ferrocytochrome c-553|Reduced cytochrome c|Cytochrome c2+|Ferrocytochrome c	C01071|C00126	C42H52FeN8O6S2	4
cpd00111_c0	Oxidized glutathione	gthox	Oxidized glutathione glucose substituted|Oxidized glutathione|Oxiglutatione|GSSG|Glutathione disulfide	C00127	C20H30N6O12S2	-2
cpd00112_c0	CMP-N-acetylneuraminate	CMP-N-acetylneuraminate	CMP-N-acetylneuraminate	C00128	C20H29N4O16P	-2
cpd00113_c0	Isopentenyldiphosphate	ipdp	Isopentenyldiphosphate|delta3-Methyl-3-butenyl diphosphate|delta3-Isopentenyl diphosphate|Isopentenyl diphosphate	C00129	C5H10O7P2	-2
cpd00114_c0	IMP	imp	5'-IMP|5'-Inosine monophosphate|5'-Inosinic acid|5'-Inosinate|Inosine 5'-phosphate|Inosine 5'-monophosphate|Inosine monophosphate|Inosinic acid|IMP	C00130	C10H12N4O8P	-1
cpd00115_c0	dATP	datp	Deoxyadenosine triphosphate|Deoxyadenosine 5'-triphosphate|2'-Deoxyadenosine 5'-triphosphate|dATP	C00131	C10H13N5O12P3	-3
cpd00116_c0	Methanol	meoh	Methyl alcohol|Methanol	C00132	CH4O	0
cpd00117_c0	D-Alanine	ala-D	D-Ala|D-2-Aminopropionic acid|D-Alanine	C00133	C3H7NO2	0
cpd00118_c0	Putrescine	ptrc	PUTR|Tetramethylenediamine|1,4-Diaminobutane|1,4-Butanediamine|Putrescine	C00134	C4H14N2	2
cpd00119_c0	L-Histidine	his-L	(S)-alpha-Amino-1H-imidazole-4-propionic acid|L-Histidine	C00135	C6H9N3O2	0
cpd00120_c0	Butyryl-CoA	btcoa	Butyryl-CoA|Butanoyl-CoA	C00136	C25H39N7O17P3S	-3
cpd00121_c0	L-Inositol	inost	(-)-Inositol|L-Inositol|Bios I|Meat sugar|Cyclohexitol|Dambose|Inositol|meso-Inositol|1L-myo-Inositol|L-myo-Inositol|1D-myo-Inositol|D-myo-Inositol|myo-Inositol	C00137|C06151	C6H12O6	0
cpd00122_c0	N-Acetyl-D-glucosamine	acgam	GlcNAc|2-Acetamido-2-deoxy-D-glucose|N-Acetylchitosamine|N-Acetyl-D-glucosamine	C00140	C8H15NO6	0
cpd00123_c0	3-Methyl-2-oxobutanoate	3mob	2-keto-isovalerate|3MOB|2-Keto-3-methylbutyric acid|2-Ketovaline|alpha-Ketovaline|2-Oxoisopentanoate|2-Oxoisovalerate|2-Oxo-3-methylbutanoate|3-Methyl-2-oxobutanoate|3-Methyl-2-oxobutyric acid|3-Methyl-2-oxobutanoic acid	C00141	C5H7O3	-1
cpd00124_c0	3'-Phosphomononucleotide	3'-Phosphomononucleotide	3'-Phosphomononucleotide		C5H9O7PR	-1
cpd00125_c0	5-10-Methylenetetrahydrofolate	mlthf	5-10-Methylenetetrahydrofolate|5,10-Methylene-THF|(6R)-5,10-Methylenetetrahydrofolate|5,10-Methylenetetrahydrofolate	C00143	C20H21N7O6	-2
cpd00126_c0	GMP	gmp	Guanylic acid|Guanosine 5'-monophosphate|Guanosine monophosphate|Guanosine 5'-phosphate|GMP	C00144	C10H13N5O8P	-1
cpd00127_c0	Phenol	PHENOL	Phenylic acid|Phenic acid|Hydroxybenzene|Benzenol|Phenol	C00146|C15584	C6H6O	0
cpd00128_c0	Adenine	ade	6-Aminopurine|Adenine	C00147	C5H5N5	0
cpd00129_c0	L-Proline	pro-L	2-Pyrrolidinecarboxylic acid|L-Proline	C00148	C5H8NO2	-1
cpd00130_c0	L-Malate	mal-L	2-Hydroxybutanedioic acid|Malic acid|Malate|MALA|L-2-Hydroxybutanedioic acid|L-Malic acid|L-Apple acid|L-Malate|(S)-Malate	C00711|C00149	C4H4O5	-2
cpd00131_c0	Molybdenum	Molybdenum	Molybdenum	C00150	Mo	0
cpd00132_c0	L-Asparagine	asn-L	2-Aminosuccinamic acid|L-Asparagine	C00152	C4H8N2O3	0
cpd00133_c0	Nicotinamide	ncam	NICO|Vitamin PP|Niacinamide|Nicotinic acid amide|Nicotinamide	C00153	C6H6N2O	0
cpd00134_c0	Palmitoyl-CoA	pmtcoa	Palmitoyl-CoA (n-C16:0CoA)|Hexadecanoyl-CoA|Palmitoyl-CoA	C00154	C37H63N7O17P3S	-3
cpd00136_c0	4-Hydroxybenzoate	4hbz	Hydroxybenzenecarboxylic acid|4-Hydroxybenzoic acid|Hydroxybenzoic acid|4-Hydroxybenzoate	C00156	C7H5O3	-1
cpd00137_c0	Citrate	cit	2-Hydroxytricarballylic acid|2-Hydroxy-1,2,3-propanetricarboxylic acid|Citric acid|Citrate	C00158	C6H5O7	-3
cpd00138_c0	D-Mannose	man	alpha-D-Mannose|MANN|Carubinose|Seminose|Mannose|D-Mannose	C00936|C00159	C6H12O6	0
cpd00139_c0	Glycolate	glyclt	Hydroxyacetic acid|Glycolic acid|Glycolate	C00160	C2H3O3	-1
cpd00141_c0	Propionate	ppa	Propionate (n-C3:0)|Propionic acid|Propanoic acid|Propionate|Propanoate	C00163	C3H5O2	-1
cpd00142_c0	Acetoacetate	acac	Acetoacetic acid|beta-Ketobutyric acid|3-Oxobutanoic acid|Acetoacetate	C00164	C4H5O3	-1
cpd00143_c0	Phenylpyruvate	phpyr	3-Phenyl-2-oxopropanoate|keto-Phenylpyruvate|alpha-Ketohydrocinnamic acid|Phenylpyruvic acid|Phenylpyruvate	C00166	C9H7O3	-1
cpd00144_c0	UDPglucuronate	udpglcur	UDP-alpha-D-glucuronate|UDP-D-glucuronate|UDPglucuronate|UDP-glucuronate	C00167	C15H19N2O18P2	-3
cpd00145_c0	Hydroxypyruvate	hpyr	3-Hydroxypyruvic acid|3-Hydroxypyruvate|Hydroxypyruvic acid|Hydroxypyruvate	C00168	C3H3O4	-1
cpd00146_c0	Carbamoylphosphate	cbp	carbamoyl-phosphate|Carbamoylphosphate|Carbamoyl phosphate	C00169	CH3NO5P	-1
cpd00147_c0	5-Methylthioadenosine	5mta	MTA|Thiomethyladenosine|5'-Deoxy-5'-(methylthio)adenosine|5-Methylthioadenosine|S-Methyl-5'-thioadenosine|Methylthioadenosine|5'-Methylthioadenosine	C00170	C11H15N5O3S	0
cpd00148_c0	5'-Phosphomononucleotide	5'-Phosphomononucleotide	5'-Phosphomononucleotide	C00171	C5H9O7PR	-1
cpd00149_c0	Co2+	cobalt2	Co2+|Cobalt	C00175	Co	2
cpd00150_c0	HCN	cyan	HCN|Hydrogen cyanide|Cyano|CN-|Prussiate|Cyanide	C00177|C01326	CHN	0
cpd00151_c0	Thymine	thym	5-Methyluracil|Thymine	C00178	C5H6N2O2	0
cpd00152_c0	Agmatine	agm	(4-Aminobutyl) guanidine|Agmatine	C00179	C5H16N4	2
cpd00153_c0	Benzoate	bz	Dracylic acid|Phenylformic acid|Benzenecarboxylic acid|Benzoic acid|Benzoate	C00180	C7H5O2	-1
cpd00154_c0	Xylose	xyl-D	Xylose|Wood sugar|D-Xylose	C01394|C00181	C5H10O5	0
cpd00155_c0	Glycogen	glycogen	Glycogen	C00182	C30H52O26	0
cpd00156_c0	L-Valine	val-L	2-Amino-3-methylbutyric acid|L-Valine	C00183	C5H11NO2	0
cpd00157_c0	Glycerone	dha	1,3-Dihydroxypropan-2-one|1,3-Dihydroxy-2-propanone|1,3-Dihydroxyacetone|Dihydroxyacetone|Glycerone	C00184	C3H6O3	0
cpd00158_c0	CELB	cellb	CELB|1-beta-D-Glucopyranosyl-4-D-glucopyranose|Cellobiose	C00185	C12H22O11	0
cpd00159_c0	L-Lactate	lac-L	LCTT|L-Lactic acid|L-Lactate|(S)-Lactate	C00186	C3H5O3	-1
cpd00160_c0	Cholesterol	Cholesterol	Cholest-5-en-3beta-ol|Cholesterol	C00187	C27H46O	0
cpd00161_c0	L-Threonine	thr-L	threonine|2-Amino-3-hydroxybutyric acid|L-Threonine	C00188	C4H9NO3	0
cpd00162_c0	Aminoethanol	etha	ethanol-amine|2-Hydroxyethylamine|Aminoethanol|Ethanolamine	C00189	C2H8NO	1
cpd00163_c0	UDP-xylose	UDP-xylose	UDP-alpha-D-xylose|UDP-xylose|UDP-D-xylose	C00190	C14H20N2O16P2	-2
cpd00164_c0	Glucuronate	glcur	Glucuronate|D-Glucuronic acid|Glucuronic acid|D-Glucuronate	C00191|C16245	C6H9O7	-1
cpd00165_c0	Hydroxylamine	Hydroxylamine	Hydroxylamine	C00192	H3NO	0
cpd00166_c0	Calomide	adocbl	Funacomide|Dibencozide|DMBC coenzyme|Coenzyme B12|Cobalamin coenzyme|Calomide|5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide|5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide|5'-Deoxy-5'-adenosyl vitamin B12|5'-Deoxy-5'-adenosylcobalamin|alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|(5,6-Dimethylbenzimidazolyl)cobamide coenzyme|(5'-Deoxy-5'-adenosyl)cobamide coenzyme|5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide|Vitamin B12 coenzyme|Cobamamide|Deoxyadenosylcobalamin|Adenosylcobalamin|Cobamide coenzyme	C00194	C72H101CoN18O17P	1
cpd00167_c0	Ceramide	cera-D	Ceramide|N-Acylsphingosine	C00195	C19H36NO3R	0
cpd00168_c0	2,3-Dihydroxybenzoate	23dhb	2,3-Dihydroxybenzoic acid|2,3-Dihydroxybenzoate	C00196	C7H5O4	-1
cpd00169_c0	3-Phosphoglycerate	3pg	DL-Glycerate 3-phosphate|3-Phospho-DL-glycerate|3-Phosphoglycerate|Glycerate 3-phosphate|3-Phospho-(R)-glycerate|D-Glycerate 3-phosphate|3-Phospho-D-glycerate	C00197|C00597	C3H5O7P	-2
