DATABASE	PRIMARY NAME	ABBREVIATION	NAMES	KEGG ID(S)	FORMULA	CHARGE
cpd12539_c0	Procollagen trans-3-hydroxy-L-proline	Procollagen trans-3-hydroxy-L-proline	Procollagen trans-3-hydroxy-L-proline	C04397	C6H8N2O3R2	0
cpd12540_c0	Procollagen trans-4-hydroxy-L-proline	Procollagen trans-4-hydroxy-L-proline	Procollagen trans-4-hydroxy-L-proline	C04398	C6H8N2O3R2	0
cpd12541_c0	2',3'-Cyclicphosphooligoribonucleotide	2',3'-Cyclicphosphooligoribonucleotide	2',3'-Cyclicphosphooligoribonucleotide|2',3'-Cyclic phosphooligoribonucleotide	C04408	C15H21O18P3R3	-3
cpd12542_c0	6-alpha-D-(1,4-alpha-D-Glucano)-glucan	6-alpha-D-(1,4-alpha-D-Glucano)-glucan	6-alpha-D-(1,4-alpha-D-Glucano)-glucan	C04417	C18H32O16	0
cpd12543_c0	Carboxybiotin-carboxyl-carrier protein	btn_co2	Carboxybiotin-carboxyl-carrier protein	C04419	C18H26N5O6R2S	-1
cpd12544_c0	N6-Alkylaminopurine-7-beta-D-glucoside	N6-Alkylaminopurine-7-beta-D-glucoside	N6-Alkylaminopurine-7-beta-D-glucoside	C04422	C11H14N5O5R	0
cpd12545_c0	beta-D-Glucosylpoly(ribitol phosphate)	beta-D-Glucosylpoly(ribitol phosphate)	beta-D-Glucosylpoly(ribitol phosphate)	C04429	C11H21O12P*2	0
cpd12546_c0	tRNA containing 6-isopentenyladenosine	tRNA containing 6-isopentenyladenosine	tRNA containing 6-isopentenyladenosine	C04432	C25H35N5O16P2R2	-2
cpd12547_c0	L-2-Lysophosphatidylethanolamine	1agpe180	1-Acyl-sn-glycero-3-phosphoethanolamine|L-2-Lysophosphatidylethanolamine	C04438	C23H46NO7P	0
cpd12548_c0	3-Hydroxymethyl ceph-3-em-4-carboxylate	3-Hydroxymethyl ceph-3-em-4-carboxylate	3-Hydroxymethyl ceph-3-em-4-carboxylate	C04448	C9H7N2O5R2S	-1
cpd12549_c0	D-Alanyl-alanyl-poly(glycerolphosphate)	D-Alanyl-alanyl-poly(glycerolphosphate)	D-Alanyl-alanyl-poly(glycerolphosphate)	C04457	C9H18N2O8P	-1
